t0/tf,x,y,z,dx,dy,dz
0,1.0204617015266166,-0.0061688995199144,-0.0101631468782087,-0.0100947671739704,-0.0108795715582732,0.0000000000000000
3.23478710,1.0000782458057018,-0.0002858011816320,0.0023057835647882,0.0822472866716031,-0.0277443874819045,-0.1055422116340844
0,1.0204617015266166,0.0107955741598501,-0.0101631468782087,-0.0048477118067708,-0.0038659211628707,-0.0071557078274300
4.29802375,1.0000605802848483,-0.0002800839267168,0.0023072101786191,0.0736265561635699,-0.0045483703843920,-0.1150302190323898
0,1.0204617015266166,-0.0061688995199144,-0.0085995858200228,-0.0144915319503886,-0.0025552480746523,0.0094568123122680
2.54747381,1.0000763984940702,-0.0003423659711983,0.0022981481210048,0.1043851646316508,0.0344688727681227,-0.0811738494791489
0,1.0204617015266166,-0.0061688995199144,-0.0085995858200228,-0.0167363851248672,0.0012542186764783,0.0049280258283932
3.04467676,1.0000657803017110,-0.0002641550803068,0.0023088888894715,0.0899380622817151,-0.0368050408002576,-0.0960730854905604
0,1.0204617015266166,-0.0030844497599572,-0.0085995858200228,-0.0028498125830546,-0.0189072710942121,0.0000000000000000
2.53615845,0.9998416928998751,-0.0003622800744052,0.0022934897705910,0.1055234176371144,0.0465574407100316,-0.0732858263063619
0,1.0204617015266166,-0.0061688995199144,-0.0070360247618368,-0.0081279460779007,-0.0168778539409471,-0.0055005064409651
2.98115042,0.9996205714439864,0.0000705067072327,0.0022975305409460,0.0986905217004173,-0.0516279009709090,-0.0791747516085500
0,1.0204617015266166,-0.0077111243998929,0.0070360247618368,-0.0117120584712593,-0.0026732009177408,-0.0138640363446608
5.43063871,0.9997800748792985,-0.0001491677012845,0.0023127690823926,0.0924215233229139,-0.0071502833518590,-0.1004027168749954
