x0,y0,z0,xd0,yd0,zd0,Tp,JC,stabilityIndex1,stabilityIndex2,alpha,beta,impactFlag,error
1.0072193777747296,0.0,0.0635517219538559,0.0034129100342094,0.5396299115975354,-0.0028294448899120,5.5273060265544256,3.0233918220842830,514.7966,2.0000,-516.7965,1031.5707,0,1.3e-11
1.0072193777747471,0.0,0.0635517219538079,0.0034129100314267,0.5396299115977712,-0.0028294448876017,5.5273060265531022,3.0233918220842928,514.7966,2.0000,-516.7965,1031.5707,0,4.2e-12
1.0072191503112442,0.0,0.0635514564031439,0.0038994108054359,0.5396271594498522,-0.0032327632816723,5.5273280665559650,3.0233905562479997,514.7912,1.9999,-516.7912,1031.5531,0,6.9e-12
1.0072188871282768,0.0,0.0635511491603264,0.0043956251344409,0.5396239750725498,-0.0036441298470560,5.5273535679493087,3.0233890916393631,514.7850,1.9999,-516.7849,1031.5327,0,1.1e-12
1.0072185862574548,0.0,0.0635507979312361,0.0049017444093513,0.5396203346275834,-0.0040637023741090,5.5273827216229359,3.0233874173075530,514.7779,1.9999,-516.7778,1031.5095,0,1.6e-11
1.0072182456413963,0.0,0.0635504003187340,0.0054179635973122,0.5396162131943071,-0.0044916415321331,5.5274157271282220,3.0233855218070746,514.7699,1.9999,-516.7698,1031.4831,0,3.9e-11
1.0072178631299593,0.0,0.0635499538181843,0.0059444812949209,0.5396115847264353,-0.0049281109068149,5.5274527930379378,3.0233833931773444,514.7609,1.9999,-516.7608,1031.4536,0,1.3e-12
1.0072174364766058,0.0,0.0635494558137772,0.0064814997811639,0.5396064220016128,-0.0053732770369835,5.5274941373255482,3.0233810189218353,514.7509,1.9998,-516.7507,1031.4206,0,1.9e-11
1.0072169633343722,0.0,0.0635489035734273,0.0070292250702051,0.5396006965762363,-0.0058273094507713,5.5275399877500311,3.0233783859860619,514.7397,1.9998,-516.7395,1031.3840,0,4.6e-11
1.0072164412516136,0.0,0.0635482942445053,0.0075878669638097,0.5395943787334497,-0.0062903807009251,5.5275905822591520,3.0233754807349080,514.7274,1.9998,-516.7272,1031.3436,0,7.3e-12
1.0072158676680505,0.0,0.0635476248490844,0.0081576391032948,0.5395874374300603,-0.0067626663991795,5.5276461694137264,3.0233722889293073,514.7139,1.9998,-516.7137,1031.2993,0,1.5e-11
1.0072152399101328,0.0,0.0635468922787533,0.0087387590209898,0.5395798402438269,-0.0072443452496807,5.5277070088168623,3.0233687957017570,514.6991,1.9997,-516.6989,1031.2507,0,8.2e-12
1.0072145551866130,0.0,0.0635460932898528,0.0093314481910299,0.5395715533149815,-0.0077355990811487,5.5277733715712163,3.0233649855312574,514.6830,1.9997,-516.6827,1031.1978,0,3.9e-12
1.0072138105837474,0.0,0.0635452244979000,0.0099359320794166,0.5395625412893394,-0.0082366128778374,5.5278455407444422,3.0233608422171212,514.6655,1.9996,-516.6651,1031.1402,0,2.0e-11
