x0_n,y0_n,z0_n,xd0_n,yd0_n,zd0_n,Tp,JC,L2ExcessVelocity_mps
1.0204615558402901,0.0000000000000000,-0.0000000000058694,-0.0000000000000359,-0.0000002953849930,-0.0002889556251230,3.1893730280606909,3.0036091075,3.971
1.0204615558402901,0.0000000000000000,-0.0000000000058694,-0.0000000000000359,-0.0000002953849930,-0.0002889556251230,3.1893730280606909,3.0036091075,3.971
1.0204616203949455,-0.0000000000000000,0.0000000000090684,0.0000000000000403,-0.0000001644969587,-0.0002156338051524,3.1893682952002500,3.0036091445,2.963
1.0204616731318650,-0.0000000000000000,0.0000000000008308,0.0000000000000018,-0.0000000575709993,-0.0001275676560263,3.1893645015760375,3.0036091748,1.753
1.0204616998885510,-0.0000000000000000,-0.0000000595678126,-0.0000000000342474,-0.0000000033523233,-0.0000306681941365,3.1893627094861454,3.0036091901,0.421
1.0204616914715445,-0.0000000000000000,0.0000000354887517,-0.0000000000505689,-0.0000000204323684,0.0000759294878852,3.1893629832498696,3.0036091853,1.043
1.0204616364115919,-0.0000000000000000,-0.0000000000025313,0.0000000000000112,-0.0000001320225643,0.0001931800241008,3.1893661526847423,3.0036091537,2.655
1.0204615205239260,-0.0000000000000000,-0.0000000000035178,0.0000000000000237,-0.0000003669913736,0.0003220804319832,3.1893755650472895,3.0036090873,4.426
1.0204613262815876,-0.0000000000000000,0.0000000000024181,-0.0000000000000222,-0.0000007608381426,0.0004637454506966,3.1893911279897926,3.0036089760,6.373
1.0204610322135952,-0.0000000000000000,-0.0000000000006275,0.0000000000000070,-0.0000013571144186,0.0006193517635484,3.1894146360301763,3.0036088074,8.512
1.0204606121543451,-0.0000000000000000,0.0000000000002032,-0.0000000000000034,-0.0000022089077371,0.0007901538991427,3.1894481305017068,3.0036085667,10.859
1.0204600344401586,-0.0000000000000000,-0.0000000000017158,0.0000000000000341,-0.0000033804829401,0.0009774705393155,3.1894942018802399,3.0036082356,13.433
1.0204592610173084,-0.0000000000000000,-0.0000000000003277,0.0000000000000089,-0.0000049491089741,0.0011826774114667,3.1895558886014572,3.0036077923,16.253
1.0204582465294094,-0.0000000000000000,0.0000000000008564,-0.0000000000000233,-0.0000070069377289,0.0014071870352013,3.1896368164583935,3.0036072109,19.339
1.0204569374164743,-0.0000000000000000,0.0000000000002750,-0.0000000000000093,-0.0000096628723604,0.0016524233890591,3.1897412731382704,3.0036064606,22.709
1.0204552710990469,-0.0000000000000000,0.0000000000008125,-0.0000000000000315,-0.0000130442820947,0.0019197889966730,3.1898742769944688,3.0036055056,26.383
1.0204531753385426,-0.0000000000000000,0.0000000000000998,-0.0000000000000038,-0.0000172983844053,0.0022106244770134,3.1900416334331987,3.0036043045,30.379
1.0204505678670159,-0.0000000000000000,-0.0000000000005584,0.0000000000000291,-0.0000225931130441,0.0025261632127206,3.1902499570963023,3.0036028101,34.715
1.0204473564795251,-0.0000000000000000,-0.0000000000001460,0.0000000000000098,-0.0000291170872524,0.0028674740035966,3.1905067382494985,3.0036009696,39.405
1.0204434394392334,-0.0000000000000000,0.0000000000000464,-0.0000000000000024,-0.0000370789937777,0.0032354233533341,3.1908202097001972,3.0035987246,44.461
1.0204387066500886,-0.0000000000000000,-0.0000000000002811,0.0000000000000226,-0.0000467054631917,0.0036306168273392,3.1911993921750401,3.0035960121,49.891
1.0204330410312015,-0.0000000000000000,-0.0000000000000762,0.0000000000000079,-0.0000582385931490,0.0040533815101549,3.1916538983387981,3.0035927650,55.699
1.0204263205287634,0.0000000000000000,0.0000000000000354,-0.0000000000000027,-0.0000719322316367,0.0045037416861762,3.1921938786798951,3.0035889132,61.886
1.0204184200275874,-0.0000000000000000,-0.0000000000001262,0.0000000000000135,-0.0000880485173427,0.0049814374106613,3.1928298424500534,3.0035843850,68.448
1.0204092133505593,-0.0000000000000000,0.0000000000000523,-0.0000000000000060,-0.0001068542884589,0.0054859510929752,3.1935725759586608,3.0035791081,75.377
1.0203985745444386,-0.0000000000000000,-0.0000000000002596,0.0000000000000326,-0.0001286189901643,0.0060165731717446,3.1944330167801276,3.0035730103,82.665
1.0203863787868186,-0.0000000000000000,-0.0000000000003667,0.0000000000000492,-0.0001536134003773,0.0065724662013753,3.1954222504051311,3.0035660200,90.298
1.0203725025778312,-0.0000000000000000,-0.0000000000000410,0.0000000000000119,-0.0001821098679279,0.0071527361521573,3.1965515569349439,3.0035580662,98.265
1.0203568228451196,-0.0000000000000000,-0.0000000000000675,0.0000000000000096,-0.0002143848469821,0.0077565159918445,3.1978324735265815,3.0035490783,106.553
1.0203392160348144,-0.0000000000000000,-0.0000000000000114,0.0000000000000017,-0.0002507215561114,0.0083830139681753,3.1992769835437112,3.0035389852,115.151
1.0203195561649367,-0.0000000000000000,0.0000000000000757,-0.0000000000000160,-0.0002914149021696,0.0090315725009617,3.2008976770971937,3.0035277147,124.050
1.0202977133004016,-0.0000000000000000,0.0000000000001166,-0.0000000000000241,-0.0003367757083159,0.0097016873256862,3.2027079958318012,3.0035151918,133.242
1.0202735516461219,-0.0000000000000000,-0.0000000000000521,0.0000000000000137,-0.0003871359442504,0.0103930253500864,3.2047224571458113,3.0035013383,142.724
1.0202469276830775,-0.0000000000000000,0.0000000000001448,-0.0000000000000356,-0.0004428541380326,0.0111054303873818,3.2069568891268152,3.0034860714,152.491
1.0202176890845374,-0.0000000000000000,-0.0000000000000956,0.0000000000000247,-0.0005043194743397,0.0118389036998280,3.2094286901133637,3.0034693030,162.544
