x0_n,y0_n,z0_n,xd0_n,yd0_n,zd0_n,Tp,JC,L2ExcessVelocity_mps
1.0030840931900813,-0.0000000000000000,0.0000000000000838,0.0000000000004268,-0.0033034462339693,-0.0111377653612548,4.2486560684968353,3.0000159887,141.837
1.0030840931900813,-0.0000000000000000,0.0000000000000838,0.0000000000004268,-0.0033034462339693,-0.0111377653612548,4.2486560684968353,3.0000159887,141.837
1.0031393070834693,-0.0000000000000000,-0.0000000000000015,0.0000000000000018,-0.0035507071827308,0.0110096171430195,4.2486353113462476,3.0000159925,141.835
1.0031544632715874,-0.0000000000000000,0.0000000000000018,-0.0000000000000032,-0.0036174501798194,0.0109740769756331,4.2485999865014215,3.0000159991,141.831
1.0031708567581084,-0.0000000000000000,-0.0000000000000007,0.0000000000000000,-0.0036891114929730,0.0109354621728679,4.2485475742371932,3.0000160087,141.826
1.0031884498177226,-0.0000000000000000,0.0000000000000018,-0.0000000000000036,-0.0037654145539694,0.0108938231630007,4.2484749145066374,3.0000160222,141.818
1.0032071738104502,-0.0000000000000000,0.0000000000000034,-0.0000000000000055,-0.0038459512599055,0.0108492834186307,4.2483791108356037,3.0000160399,141.809
1.0032269348838290,-0.0000000000000000,0.0000000000000002,-0.0000000000000008,-0.0039302132991359,0.0108020280153271,4.2482574237979200,3.0000160624,141.796
1.0032476271469777,-0.0000000000000000,-0.0000000000000035,0.0000000000000050,-0.0040176539387698,0.0107522739337981,4.2481075010877341,3.0000160901,141.780
1.0032691474551585,-0.0000000000000000,-0.0000000000000007,0.0000000000000010,-0.0041077534196986,0.0107002354835348,4.2479273647719413,3.0000161234,141.762
1.0032914025595552,-0.0000000000000000,0.0000000000000078,-0.0000000000000117,-0.0042000490290105,0.0106461070881643,4.2477152106508091,3.0000161627,141.739
1.0028999444219069,-0.0000000000000001,-0.0000000000001705,-0.0000000000000761,-0.0024272183719615,-0.0115490375461862,4.2474694947230009,3.0000162082,141.714
1.0028774509721794,-0.0000000000000000,-0.0000000000006988,-0.0000000000012234,-0.0023141675907099,-0.0115974102804685,4.2471885439685524,3.0000162602,141.685
1.0028544957449432,-0.0000000000000000,-0.0000000000004214,-0.0000000000012067,-0.0021973171513473,-0.0116463156710486,4.2468706633038238,3.0000163191,141.651
1.0028310869311172,-0.0000000000000000,-0.0000000000004927,-0.0000000000011661,-0.0020765758185525,-0.0116956920612741,4.2465138331494963,3.0000163852,141.614
1.0028072169904645,-0.0000000000000001,-0.0000000000005482,-0.0000000000014321,-0.0019517631689282,-0.0117455072062716,4.2461157065551021,3.0000164590,141.573
1.0027828580610030,-0.0000000000000001,-0.0000000000007782,-0.0000000000013547,-0.0018225786961744,-0.0117957653973943,4.2456736479701451,3.0000165410,141.526
1.0027579801636024,-0.0000000000000000,-0.0000000000005246,-0.0000000000011704,-0.0016886913450241,-0.0118464673040850,4.2451844765367355,3.0000166318,141.475
1.0027325384176813,-0.0000000000000000,-0.0000000000009634,-0.0000000000018042,-0.0015496662239129,-0.0118976341084965,4.2446446343768454,3.0000167321,141.419
1.0027064824758063,-0.0000000000000000,-0.0000000000002561,-0.0000000000006407,-0.0014050083791476,-0.0119492853800703,4.2440500302909010,3.0000168427,141.356
1.0026797610787945,-0.0000000000000000,-0.0000000000008790,-0.0000000000018477,-0.0012541826827823,-0.0120014274593796,4.2433959515810695,3.0000169644,141.288
1.0026523035769073,-0.0000000000000000,-0.0000000000001985,-0.0000000000004859,-0.0010965020280960,-0.0120540859596024,4.2426768814086362,3.0000170984,141.212
1.0026234332543749,-0.0000000000000000,0.0000000000002151,0.0000000000002216,-0.0009276485977833,-0.0121083913857448,4.2418690871989799,3.0000172490,141.127
1.0025946570793935,-0.0000000000000000,-0.0000000000000422,-0.0000000000000711,-0.0007561072438170,-0.0121613708257830,4.2410107642164103,3.0000174093,141.036
1.0025647222719567,-0.0000000000000000,0.0000000000008679,0.0000000000016658,-0.0005740932130802,-0.0122151887521399,4.2400611419014282,3.0000175868,140.936
1.0025338988393808,-0.0000000000000000,-0.0000000000004733,-0.0000000000008267,-0.0003827223307867,-0.0122691322579212,4.2390223497318065,3.0000177813,140.826
1.0025019951681364,-0.0000000000000000,0.0000000000018531,0.0000000000033053,-0.0001802405979501,-0.0123232809853591,4.2378815711856372,3.0000179952,140.705
1.0037863395742552,-0.0000000000000000,0.0000000000038307,-0.0000000000094587,-0.0060598074223155,0.0093577911639933,4.2366174862268107,3.0000182327,140.570
1.0038254865894525,-0.0000000000000000,0.0000000000019960,-0.0000000000047119,-0.0061938604995029,0.0092483641247346,4.2352526734345224,3.0000184895,140.424
1.0038664827620403,-0.0000000000000004,0.0000000000044428,-0.0000000000116217,-0.0063325602147143,0.0091324147863951,4.2337524328439375,3.0000187724,140.264
1.0039094076967727,-0.0000000000000004,0.0000000000007625,-0.0000000000020314,-0.0064760077674733,0.0090094692289064,4.2321050592866687,3.0000190838,140.086
1.0039543682363905,-0.0000000000000004,-0.0000000000003891,0.0000000000009434,-0.0066243851320772,0.0088789310343026,4.2302970742728716,3.0000194264,139.891
1.0040015076507212,-0.0000000000000004,-0.0000000000001453,0.0000000000001936,-0.0067779796905081,0.0087400401243909,4.2283125529447521,3.0000198035,139.676
1.0040509780390467,-0.0000000000000004,-0.0000000000004566,0.0000000000011246,-0.0069370891004367,0.0085919361294820,4.2261339781162084,3.0000202188,139.439
1.0041029438599414,-0.0000000000000000,-0.0000000000004362,0.0000000000010671,-0.0071020313408342,0.0084336295069013,4.2237419862327599,3.0000206763,139.177
