x0_n,y0_n,z0_n,xd0_n,yd0_n,zd0_n,Tp,JC,L2ExcessVelocity_mps
1.0031259604351483,-0.0000000000000000,-0.0000000000001764,-0.0000000000003447,-0.0034915361215207,-0.0110407855518862,4.2486558288198246,3.0000159887,141.837
1.0031259604351483,-0.0000000000000000,-0.0000000000001764,-0.0000000000003447,-0.0034915361215207,-0.0110407855518862,4.2486558288198246,3.0000159887,141.837
1.0031150712560155,-0.0000000000000000,-0.0000000000001713,-0.0000000000004328,-0.0034429807007892,-0.0110661251618299,4.2486652325191203,3.0000159870,141.838
1.0031008296797324,-0.0000000000000000,-0.0000000000003128,-0.0000000000006376,-0.0033790924349563,-0.0110991430388159,4.2486678085867480,3.0000159865,141.839
1.0030859054785766,-0.0000000000000000,-0.0000000000003126,-0.0000000000006518,-0.0033116673199081,-0.0111335926407446,4.2486581788870099,3.0000159883,141.838
1.0030703742516476,-0.0000000000000000,-0.0000000000003112,-0.0000000000006389,-0.0032409752088054,-0.0111692776529686,4.2486348592003127,3.0000159926,141.835
1.0030543272358816,-0.0000000000000000,-0.0000000000003146,-0.0000000000006591,-0.0031673634043063,-0.0112059679492160,4.2485964347868075,3.0000159997,141.831
1.0030378689884059,-0.0000000000000000,-0.0000000000003168,-0.0000000000006713,-0.0030912500372206,-0.0112434060805180,4.2485418296726758,3.0000160098,141.825
1.0030211106471445,-0.0000000000000000,-0.0000000000003198,-0.0000000000006811,-0.0030130965206276,-0.0112813236593623,4.2484703714740428,3.0000160230,141.818
1.0030041578239028,-0.0000000000000000,-0.0000000000003206,-0.0000000000006839,-0.0029333531709920,-0.0113194693220287,4.2483816938005612,3.0000160394,141.809
1.0029871059745612,-0.0000000000000000,-0.0000000000003234,-0.0000000000006775,-0.0028524373800583,-0.0113576190604978,4.2482757794965558,3.0000160590,141.798
1.0029700321342194,-0.0000000000000000,-0.0000000000003288,-0.0000000000007086,-0.0027706928520826,-0.0113955941827629,4.2481528855517148,3.0000160817,141.785
1.0029529958451493,-0.0000000000000000,-0.0000000000003209,-0.0000000000006843,-0.0026883909866348,-0.0114332582695158,4.2480133016000154,3.0000161075,141.770
1.0029360386282520,-0.0000000000000000,-0.0000000000003096,-0.0000000000006814,-0.0026057250412620,-0.0114705173118568,4.2478574901068447,3.0000161364,141.754
1.0029191815236012,-0.0000000000000000,-0.0000000000003032,-0.0000000000006939,-0.0025227943526457,-0.0115073239417989,4.2476858852290338,3.0000161681,141.736
1.0029024391362009,-0.0000000000000000,-0.0000000000002799,-0.0000000000006680,-0.0024396699985129,-0.0115436457047020,4.2474987737381094,3.0000162027,141.717
1.0028858084273105,-0.0000000000000000,-0.0000000000002887,-0.0000000000006794,-0.0023563370220359,-0.0115794887241005,4.2472964755226847,3.0000162402,141.696
1.0028692867154865,-0.0000000000000000,-0.0000000000002794,-0.0000000000006822,-0.0022727818542588,-0.0116148580487810,4.2470791080768464,3.0000162805,141.673
1.0028528582358736,-0.0000000000000000,-0.0000000000003617,-0.0000000000007191,-0.0021889234572594,-0.0116497861528305,4.2468467980071889,3.0000163235,141.649
1.0028365106461334,-0.0000000000000000,-0.0000000000003271,-0.0000000000007539,-0.0021046956014325,-0.0116842972233820,4.2465994333761907,3.0000163693,141.623
1.0028202252611542,-0.0000000000000000,-0.0000000000006214,-0.0000000000012106,-0.0020199965662292,-0.0117184277707416,4.2463369346759086,3.0000164180,141.596
1.0028039826713322,-0.0000000000000000,-0.0000000000006217,-0.0000000000011683,-0.0019347171069281,-0.0117522144457253,4.2460591147295776,3.0000164695,141.567
1.0027877672654801,-0.0000000000000000,-0.0000000000006945,-0.0000000000012891,-0.0018487642058119,-0.0117856846125756,4.2457656342659496,3.0000165240,141.536
1.0027715583324204,-0.0000000000000000,0.0000000000000742,-0.0000000000000839,-0.0017620140189138,-0.0118188747281720,4.2454561554330370,3.0000165814,141.504
1.0027553374883880,-0.0000000000000000,-0.0000000000002080,-0.0000000000004645,-0.0016743507089050,-0.0118518148073577,4.2451302960210224,3.0000166419,141.470
1.0027390933135210,-0.0000000000000000,-0.0000000000005480,-0.0000000000010041,-0.0015856922676564,-0.0118845192213553,4.2447875838067324,3.0000167056,141.434
1.0027228141132147,-0.0000000000000000,-0.0000000000005651,-0.0000000000010878,-0.0014959521111331,-0.0119170015915098,4.2444276741588896,3.0000167725,141.396
