x0,y0,z0,xd0,yd0,zd0,Tp,JC,stabilityIndex1,stabilityIndex2,alpha,beta,impactFlag,error
1.0038000795067223,0.0,-0.0000000464223461,0.0000000001014304,-0.0115141534200254,-0.0000357784694198,19.3226287370814021,3.0000098144317882,21.933855,2.000000,-23.9338548696073,45.8677097074366,0,5.9e-12
1.0038000796407045,0.0,0.0000000003901814,-0.0000000000008562,-0.0115141526006784,-0.0000359338103296,19.3226272788669426,3.0000098144390468,21.933932,2.000000,-23.9339319778189,45.8678639340228,0,4.3e-12
1.0038000797773963,0.0,-0.0000000000458330,0.0000000000001009,-0.0115141517634938,-0.0000360917182730,19.3226257889260324,3.0000098144464622,21.934011,2.000000,-23.9340107676951,45.8680215997293,0,1.3e-11
1.0038000799169411,0.0,-0.0000000002976725,0.0000000000006589,-0.0115141509088352,-0.0000362522127225,19.3226242678807516,3.0000098144540335,21.934091,2.000000,-23.9340911959982,45.8681824302624,0,7.7e-12
1.0038000800593965,0.0,-0.0000000004277766,0.0000000000009513,-0.0115141500363477,-0.0000364153255993,19.3226227151074710,3.0000098144617620,21.934173,2.000000,-23.9341733050352,45.8683466670058,0,1.1e-11
1.0038000802048208,0.0,0.0000000000688237,-0.0000000000001536,-0.0115141491456722,-0.0000365810885986,19.3226211299692032,3.0000098144696516,21.934257,2.000000,-23.9342571257204,45.8685143226391,0,1.4e-11
1.0038000803532738,0.0,0.0000000003134860,-0.0000000000007035,-0.0115141482364449,-0.0000367495331122,19.3226195118140751,3.0000098144777061,21.934343,2.000000,-23.9343426934339,45.8686854867886,0,2.0e-11
1.0038000805048164,0.0,0.0000000004189908,-0.0000000000009447,-0.0115141473082936,-0.0000369206909749,19.3226178599815626,3.0000098144859280,21.934430,2.000000,-23.9344300399190,45.8688601649306,0,1.7e-11
1.0038000806595098,0.0,-0.0000000003099017,0.0000000000007020,-0.0115141463608398,-0.0000370945939159,19.3226161737981528,3.0000098144943208,21.934519,2.000000,-23.9345192029449,45.8690384721404,0,1.3e-11
1.0038000808174175,0.0,-0.0000000000397534,0.0000000000000905,-0.0115141453936971,-0.0000372712738541,19.3226144525780370,3.0000098145028877,21.934610,2.000000,-23.9346102204995,45.8692205079718,0,1.3e-11
