bin_impactAngle,bin_neckSection,latitude,longitude,impactAngle
4,3,-37.0,90.5,52.7
4,3,-17.3,-37.8,57.7
3,3,12.0,-98.5,33.8
3,3,-10.5,129.8,29.4
5,3,38.0,125.5,61.1
3,3,-7.3,-9.5,23.9
3,3,22.5,-73.1,37.5
5,3,-23.7,-49.3,62.3
5,3,-32.3,54.9,76.8
4,3,25.3,108.5,43.2
3,3,-24.0,-49.8,30.6
5,3,-43.1,68.2,83.2
5,3,32.2,-80.3,69.8
4,3,-10.3,-129.9,52.7
4,3,-25.1,-85.4,42.5
5,3,32.8,124.2,72.4
4,3,10.8,137.4,47.1
4,3,13.2,147.1,49.1
4,3,-30.4,150.6,57.2
5,3,-39.2,-82.9,62.7
5,3,-35.1,-49.8,62.0
4,3,16.0,135.2,52.8
4,3,18.0,145.4,54.7
5,3,-35.9,133.2,60.3
4,3,-17.7,-44.6,54.0
3,3,26.8,-39.9,34.1
3,3,-4.2,175.6,27.5
3,3,-2.2,-178.1,31.4
3,3,-12.5,-57.9,29.9
3,3,2.6,-41.5,35.2
4,3,-10.7,-120.5,57.0
4,3,22.0,77.3,49.7
3,3,-26.4,-19.4,35.6
3,3,-26.2,-54.5,32.6
4,3,-4.1,125.2,44.9
4,3,-2.0,133.0,41.1
4,3,5.4,51.7,49.0
3,3,-27.7,-34.8,33.6
4,3,-30.4,-46.8,58.7
3,3,-8.9,128.8,34.0
4,3,18.7,118.4,58.8
4,3,20.4,139.0,59.0
4,3,4.7,171.9,41.1
4,3,-22.5,-64.6,59.8
3,3,-12.6,-69.7,30.1
3,3,-19.3,142.6,29.2
5,3,25.0,91.6,68.7
5,3,35.6,109.6,75.8
5,3,34.3,129.6,73.0
5,3,24.7,152.3,62.9
5,3,-47.6,84.4,84.3
4,3,-19.1,-100.4,42.3
4,3,-5.6,108.2,42.1
5,3,32.3,81.6,76.4
5,3,42.4,101.5,82.3
5,3,42.2,119.2,80.1
5,3,36.9,136.5,73.9
5,3,23.1,162.8,60.4
5,3,-35.6,147.5,74.5
4,3,-3.7,113.3,40.8
5,3,36.2,81.4,79.5
5,3,45.4,101.9,84.5
5,3,44.9,118.0,81.8
5,3,40.0,134.2,75.7
5,3,27.5,160.1,63.8
4,3,-28.5,161.5,43.2
5,3,-29.8,-45.2,64.9
2,3,-11.9,-19.6,16.9
5,3,35.6,91.0,77.5
5,3,44.8,108.8,83.5
5,3,44.1,124.1,80.6
5,3,38.6,140.7,74.0
4,3,22.8,171.0,59.7
4,3,36.3,-79.8,53.9
3,3,-0.1,-44.4,33.9
5,3,26.9,117.5,66.5
5,3,38.4,128.0,77.2
5,3,36.1,144.5,73.7
5,3,23.4,170.2,61.7
4,3,-36.6,95.6,56.7
2,3,-13.5,-16.2,16.8
5,3,-30.3,107.9,69.6
4,3,5.6,168.6,42.7
4,3,5.0,-175.0,45.3
4,3,-5.4,120.2,44.3
5,3,-37.6,-34.0,68.5
5,3,-43.8,113.6,80.7
3,3,-16.3,-76.7,29.3
5,3,-22.5,144.5,62.6
3,3,-27.5,-24.8,33.8
3,3,-27.1,-35.5,29.2
3,3,-16.3,149.9,26.3
2,3,-17.5,-38.8,15.4
4,3,-3.4,110.9,43.7
4,3,12.1,137.2,50.6
3,3,-5.8,-176.7,27.9
5,3,-45.1,103.9,81.8
3,3,-11.0,-82.8,33.3
5,3,25.7,107.8,67.4
5,3,26.3,138.6,65.5
4,3,13.4,168.9,51.9
5,3,-34.8,143.9,61.9
4,3,30.0,82.4,53.8
3,3,-1.4,-57.3,33.5
5,3,-26.1,164.8,66.9
5,3,28.1,84.6,73.1
5,3,37.5,117.0,77.2
5,3,33.6,142.0,72.0
5,3,22.4,165.9,61.0
5,3,-48.0,93.7,76.9
5,3,41.1,69.3,64.7
4,3,4.6,-84.2,44.3
5,3,35.1,81.1,79.3
5,3,43.0,113.4,81.9
5,3,40.0,135.2,77.2
5,3,32.8,154.1,69.5
4,3,16.2,-178.2,54.2
4,3,-27.1,170.5,43.8
5,3,33.5,76.1,75.6
4,3,0.4,-104.2,45.8
5,3,38.5,81.4,81.9
5,3,45.6,113.9,83.7
5,3,42.7,133.4,78.5
5,3,36.5,150.6,71.3
4,3,22.7,176.3,59.1
4,3,-29.6,147.6,41.2
4,3,-0.7,-107.6,45.3
5,3,38.4,85.5,81.2
5,3,45.6,117.9,83.5
5,3,42.8,136.0,78.1
5,3,36.7,152.7,70.9
4,3,21.8,-179.6,58.2
4,3,-29.0,131.4,40.8
4,3,-1.8,108.9,43.7
3,3,-0.9,-26.8,34.5
3,3,-15.9,-104.2,37.3
5,3,33.1,95.3,75.3
5,3,42.2,128.2,80.6
5,3,38.5,147.8,74.9
5,3,29.1,168.9,65.5
5,3,-40.5,78.7,63.2
3,3,-4.6,-100.4,39.2
5,3,30.3,128.3,70.3
5,3,29.5,158.4,69.5
4,3,9.4,-166.6,51.1
5,3,-41.1,89.7,62.4
5,3,-41.2,128.7,68.8
4,3,5.1,-81.9,43.4
4,3,31.5,117.8,57.0
4,3,6.8,172.1,45.7
5,3,-22.6,112.4,64.1
4,3,-15.2,103.9,57.6
5,3,-20.0,-65.7,61.3
4,3,-27.4,-178.4,58.9
3,3,-12.6,122.3,38.1
3,3,-8.9,-54.9,24.1
3,3,-10.4,-73.5,26.9
4,3,4.6,123.7,46.0
3,3,-7.6,172.3,24.6
3,3,-6.0,-37.4,28.1
3,3,1.9,-69.5,38.2
3,3,-28.0,-51.9,38.0
4,3,14.5,104.7,58.3
4,3,13.7,145.3,51.2
4,3,4.7,-52.8,40.7
4,3,0.6,-90.8,40.6
5,3,26.3,125.4,65.7
4,3,16.8,159.6,54.4
5,3,-27.9,62.7,68.9
3,3,1.1,-35.1,36.8
4,3,11.4,-76.9,49.1
3,3,-28.6,-66.9,39.3
5,3,32.9,107.7,73.7
5,3,29.7,141.6,67.9
4,3,16.5,171.8,54.4
5,3,-49.1,87.3,84.6
5,3,-39.8,126.4,69.6
4,3,10.4,-49.1,47.0
4,3,11.6,-92.4,51.1
5,3,37.6,108.9,77.7
5,3,34.1,140.8,71.9
5,3,23.3,167.3,61.1
3,3,4.4,105.5,28.3
5,3,-41.8,110.6,66.2
4,3,-28.7,157.5,58.2
4,3,16.1,-59.1,53.2
4,3,6.2,-103.4,47.6
5,3,40.2,110.3,79.7
5,3,36.3,141.8,73.6
5,3,26.0,167.4,63.4
3,3,1.7,112.7,32.2
5,3,-41.8,101.2,65.3
5,3,-36.3,138.1,63.0
4,3,17.9,-58.3,55.2
4,3,5.2,-103.8,46.4
5,3,40.9,112.1,80.3
5,3,36.8,143.9,74.1
5,3,26.4,169.2,63.8
4,3,-36.0,-74.8,53.3
5,3,-47.2,88.1,73.8
5,3,-48.2,98.4,79.6
4,3,19.2,-60.2,56.9
3,3,-3.2,-100.9,38.1
5,3,39.3,113.2,79.1
5,3,34.7,148.9,72.6
5,3,21.3,178.0,60.0
5,3,-14.7,-106.8,67.2
5,3,-27.5,86.3,66.7
4,3,16.2,-50.0,54.4
4,3,4.3,-94.1,42.8
5,3,34.6,135.5,73.9
5,3,22.2,172.2,61.9
4,3,5.9,-32.0,45.0
4,3,10.1,-78.6,47.3
5,3,20.0,102.1,63.1
5,3,23.0,158.1,62.8
4,3,3.9,-43.9,41.8
4,3,11.8,113.8,53.8
4,3,8.5,170.5,46.8
4,3,-5.8,108.9,44.7
3,3,9.4,-68.3,30.4
4,3,-13.8,114.1,40.2
5,4,-34.4,65.9,66.6
5,4,-20.8,66.7,60.8
5,4,-42.5,73.4,71.6
5,4,-11.0,65.4,60.2
3,4,-6.3,-70.9,25.5
3,4,-1.4,-77.3,32.2
3,4,-5.4,-78.3,28.0
5,4,-23.0,68.5,60.9
5,4,-9.1,62.8,61.2
3,4,-4.6,-67.0,27.0
3,4,5.1,-73.6,39.6
4,4,9.0,-76.4,44.5
4,4,9.4,-79.5,45.1
4,4,5.4,-83.0,40.7
3,4,-7.9,-80.0,26.1
5,4,-46.7,77.6,75.6
3,4,-8.7,-58.0,20.8
3,4,4.3,-68.6,38.5
4,4,10.6,-71.0,46.2
4,4,13.8,-72.5,50.0
4,4,15.0,-74.7,51.5
4,4,14.5,-78.2,50.9
4,4,11.1,-82.8,47.3
3,4,1.7,-85.6,36.9
5,4,-24.5,67.9,61.8
5,4,9.0,70.7,64.6
3,4,1.1,-63.2,34.3
4,4,9.6,-67.1,45.0
4,4,14.1,-68.4,50.4
4,4,16.6,-69.5,53.3
4,4,17.8,-71.3,54.5
4,4,17.7,-74.4,54.5
4,4,16.0,-79.1,52.6
4,4,10.9,-84.5,47.0
3,4,-2.9,-84.8,31.8
5,4,-43.6,71.3,73.4
5,4,12.8,72.4,66.1
3,4,1.2,-60.2,34.6
4,4,9.9,-64.5,45.5
4,4,14.7,-65.9,51.0
4,4,17.4,-66.9,54.1
4,4,18.8,-68.2,55.6
4,4,19.3,-70.6,56.2
4,4,18.7,-74.4,55.5
4,4,16.2,-79.7,52.8
4,4,9.4,-85.2,45.3
3,4,-9.3,-79.4,24.6
5,4,-50.4,99.7,84.0
5,4,14.0,71.8,66.9
3,4,-0.1,-56.7,33.1
4,4,9.5,-62.3,45.2
4,4,14.7,-64.1,51.1
4,4,17.6,-65.3,54.2
4,4,19.1,-66.8,55.9
4,4,19.6,-69.1,56.4
4,4,19.0,-73.0,55.8
4,4,16.5,-78.3,53.1
4,4,9.5,-83.8,45.3
3,4,-10.6,-76.2,22.6
5,4,-44.8,114.6,80.3
5,4,12.4,68.7,66.8
3,4,-4.1,-51.1,27.9
4,4,7.4,-59.9,42.8
4,4,13.2,-62.6,49.6
4,4,16.5,-64.2,53.1
4,4,18.2,-65.9,55.0
4,4,18.7,-68.4,55.5
4,4,18.0,-72.2,54.7
4,4,15.1,-77.4,51.5
4,4,7.0,-81.9,42.3
2,4,-16.7,-63.1,16.0
5,4,6.6,63.0,65.4
5,4,22.1,86.8,68.4
3,4,4.2,-57.4,38.9
4,4,10.9,-61.5,47.0
4,4,14.4,-63.9,51.0
4,4,16.0,-66.4,52.7
4,4,16.0,-69.7,52.6
4,4,13.7,-74.1,49.9
4,4,6.6,-78.1,41.5
2,4,-14.8,-63.1,16.0
5,4,-36.9,134.3,72.5
5,4,8.8,66.1,65.5
2,4,-12.0,-39.8,16.7
3,4,3.2,-57.8,37.7
4,4,8.8,-62.5,44.4
4,4,10.9,-65.9,46.8
4,4,10.0,-69.6,45.7
3,4,4.7,-72.8,39.1
2,4,-12.7,-61.9,16.9
5,4,-50.2,89.1,80.4
5,4,-33.4,60.5,66.6
5,4,6.6,66.1,64.4
5,4,18.0,84.0,66.3
3,4,-2.0,-57.9,30.6
3,4,-1.0,-62.8,31.8
3,4,-9.5,-59.3,20.0
5,4,-25.6,60.2,63.7
5,4,-41.5,71.6,70.4
5,4,-7.4,60.0,61.8
5,4,-1.2,64.6,62.0
5,4,-17.0,59.7,61.7
4,4,-23.7,165.0,59.5
5,4,40.2,-83.8,63.8
5,3,-37.4,-123.3,74.6
4,3,-12.1,-116.4,47.4
5,3,-31.3,-131.9,71.0
3,3,-22.7,-48.9,39.3
3,3,-21.5,-52.6,37.4
5,3,-32.4,-112.1,64.3
5,3,-37.3,-122.3,73.1
3,3,-19.5,-36.6,31.2
3,3,-18.4,-42.8,30.0
4,3,-26.5,-107.7,57.5
4,3,-29.1,-105.7,59.1
4,3,-24.7,-103.0,54.5
4,3,-30.1,-44.1,59.2
4,3,33.1,-119.7,58.0
4,3,-15.9,135.6,49.7
4,3,-32.0,-64.8,52.7
4,3,31.3,131.0,58.8
4,3,-6.4,93.0,47.1
4,3,3.1,66.6,59.6
4,3,6.6,103.9,48.6
4,3,-13.1,-7.7,42.0
5,3,-24.8,34.6,68.5
5,3,-10.6,26.0,62.5
5,3,18.9,76.7,64.4
3,3,-19.7,-25.0,29.6
4,3,-23.1,55.0,46.1
5,3,24.6,87.4,65.0
5,3,-36.1,38.5,80.8
4,3,-12.3,-59.5,44.6
3,3,-8.5,-62.7,31.3
3,3,-15.9,-44.4,29.7
5,3,30.7,80.8,70.7
4,3,-15.5,-49.5,45.5
3,3,-2.2,-66.8,35.0
5,3,20.8,28.7,72.8
4,3,26.0,128.7,57.4
5,3,-1.9,-141.1,60.3
4,3,2.3,-96.3,48.1
3,3,-21.7,-27.1,36.9
4,3,10.0,130.6,43.5
4,3,-4.2,31.2,56.7
5,3,9.1,31.7,61.8
5,3,38.8,55.1,82.3
4,3,19.7,155.1,50.3
4,3,-16.5,-38.6,47.5
4,3,5.8,-89.4,47.7
4,3,5.4,-82.2,45.3
3,3,-21.8,-64.8,35.4
3,3,-2.1,-60.2,33.6
5,3,-32.5,125.5,74.3
4,3,-18.9,-67.1,57.9
5,3,39.0,113.2,62.6
4,3,-19.2,-70.0,57.0
3,3,15.4,-85.9,38.7
4,3,-8.9,83.5,50.7
5,3,13.8,70.6,64.6
5,3,19.6,92.8,62.9
3,3,-0.7,153.4,31.6
5,3,-9.8,36.5,61.7
4,3,-30.7,-79.4,49.5
5,3,-28.4,44.0,67.1
5,3,0.3,29.3,67.0
5,3,24.7,38.7,78.3
5,3,32.3,50.0,81.2
5,3,32.9,66.4,78.1
5,3,24.3,109.2,62.2
5,3,-36.9,46.5,73.3
5,3,-42.6,-138.3,88.3
5,3,18.7,25.7,73.7
5,3,34.6,32.9,84.4
5,3,37.6,37.9,85.7
5,3,36.6,42.3,84.2
5,3,35.5,58.9,80.3
4,3,22.2,126.3,55.8
5,3,-41.1,49.2,82.0
3,3,-8.0,-61.8,30.4
5,3,22.9,26.3,73.3
5,3,38.6,29.7,86.0
5,3,41.0,32.7,87.1
5,3,39.4,33.7,85.7
5,3,37.1,35.9,84.2
5,3,37.4,58.5,80.5
3,3,10.1,167.4,37.9
5,3,34.5,90.4,68.9
4,3,-1.6,-101.4,48.4
5,3,27.3,30.4,73.4
5,3,41.8,30.3,86.4
5,3,43.2,32.1,87.1
5,3,41.9,33.3,85.8
5,3,40.2,35.1,84.9
5,3,40.6,55.6,82.1
4,3,15.8,164.6,43.2
4,3,5.2,-108.8,53.6
5,3,-33.0,32.8,69.1
5,3,26.5,38.2,69.2
5,3,44.0,34.6,85.9
5,3,45.5,35.5,86.8
5,3,45.2,37.6,86.3
5,3,44.9,43.1,85.8
5,3,42.2,73.5,77.8
5,3,-35.2,-107.1,69.7
4,3,1.2,-128.2,56.9
5,3,-26.3,55.5,73.5
5,3,30.8,43.5,72.6
5,3,47.7,43.6,87.2
5,3,48.9,45.4,87.3
5,3,48.2,52.5,85.4
5,3,44.2,79.5,76.8
5,3,-26.3,-62.5,60.6
4,3,13.0,-112.6,58.4
5,3,38.1,46.6,82.9
5,3,50.9,60.3,89.4
5,3,51.4,68.7,86.1
5,3,46.6,90.5,76.9
4,3,24.2,170.5,53.0
5,3,-39.9,63.7,66.9
4,3,17.7,-79.6,55.7
5,3,33.4,142.3,69.3
5,3,27.3,163.3,61.4
3,3,19.9,-62.0,33.0
5,3,42.9,91.2,64.6
4,2,18.3,67.4,45.6
4,2,-6.5,56.3,57.9
3,2,-12.4,116.4,38.5
4,2,3.5,130.8,42.4
5,2,-16.2,45.9,64.6
5,2,39.5,-82.0,75.9
5,2,-37.5,-67.3,60.2
4,2,-11.0,63.0,58.3
5,2,25.7,72.6,73.5
5,2,32.9,98.3,74.4
5,2,26.0,125.6,64.2
3,2,-14.5,-64.6,33.8
2,2,-18.3,-35.6,19.6
5,2,23.0,40.1,78.6
5,2,41.7,64.2,86.7
5,2,44.4,82.7,84.9
5,2,41.8,97.7,79.9
5,2,34.5,117.2,70.7
4,2,11.2,163.5,43.9
5,2,13.0,31.1,76.2
4,2,-19.8,-110.7,50.2
5,2,5.0,22.3,69.4
5,2,42.0,43.0,90.0
5,2,47.7,60.4,89.8
5,2,47.2,71.4,86.4
5,2,45.1,80.3,82.5
5,2,41.6,92.0,77.4
5,2,33.6,117.5,66.8
5,2,-34.6,97.9,61.4
5,2,12.4,21.6,69.9
5,2,44.9,37.2,88.3
3,2,17.6,-65.6,38.7
3,2,20.6,-71.3,38.7
3,2,15.0,-47.7,33.2
5,2,42.4,71.6,79.3
5,2,39.8,85.3,74.5
5,2,31.7,121.9,61.7
5,2,-21.4,-114.4,65.6
3,2,5.8,-57.9,37.8
5,2,16.1,25.3,68.0
5,2,46.5,34.8,88.4
3,2,21.5,-82.9,36.9
3,2,21.3,-86.7,35.0
3,2,19.7,-71.6,30.8
5,2,39.5,63.7,76.8
5,2,38.4,77.5,72.8
5,2,33.3,114.9,61.2
3,2,13.8,-172.3,35.4
5,2,-26.4,-117.7,69.4
4,2,12.9,-61.7,45.4
5,2,13.8,33.2,61.6
5,2,48.2,36.1,89.1
3,2,20.9,-80.3,32.3
3,2,19.8,-85.5,30.1
3,2,19.1,-70.1,26.2
5,2,36.5,63.5,73.0
5,2,36.1,80.7,68.2
4,2,31.7,126.2,55.6
5,2,-28.0,-99.9,68.1
5,2,-29.6,-111.6,70.6
4,2,20.6,-72.7,55.2
4,2,10.4,37.9,58.2
5,2,51.2,44.3,89.4
5,2,44.2,47.4,82.5
3,2,20.4,-62.2,26.1
5,2,35.6,62.4,71.4
5,2,35.1,78.2,66.4
4,2,33.7,115.4,56.8
4,2,18.8,-49.6,52.2
5,2,49.9,58.0,89.3
5,2,51.6,62.7,85.6
5,2,43.3,65.3,75.7
5,2,38.4,77.3,68.2
5,2,36.4,104.3,60.1
5,2,49.9,108.8,84.5
5,2,47.3,105.4,74.4
5,2,40.2,129.6,62.9
4,2,-18.6,68.4,51.0
4,2,11.1,-99.9,52.0
4,2,-21.6,92.9,43.9
5,2,-31.2,154.0,64.8
5,2,-34.6,123.7,74.6
4,2,35.6,110.1,47.0
3,2,-23.5,166.4,26.1
5,2,-27.4,77.9,71.5
3,2,5.2,-174.0,30.7
4,2,11.4,108.3,54.9
4,2,5.1,151.6,41.0
4,2,-9.5,48.8,56.3
4,2,26.4,166.4,42.5
3,2,-18.7,-86.2,36.7
5,2,21.9,70.1,72.1
5,2,33.2,105.5,74.0
5,2,26.8,136.2,64.5
3,2,2.0,-179.9,35.7
5,2,-45.3,94.1,78.7
3,2,-14.7,-45.8,26.3
3,2,-8.4,-45.9,23.3
5,2,-34.7,84.0,78.7
5,2,41.1,75.7,84.6
4,2,8.7,-48.4,41.5
5,2,38.2,122.1,73.9
5,2,28.4,145.0,62.8
5,2,-38.1,104.6,64.4
5,2,34.8,-124.5,63.4
4,2,-1.6,-102.1,46.9
5,2,41.8,52.1,89.0
4,2,23.4,-78.7,51.0
4,2,27.6,-84.5,52.4
4,2,26.1,-77.4,49.0
4,2,19.1,-53.7,41.9
4,2,22.9,157.5,53.2
3,2,-2.4,-29.0,24.5
4,2,-16.8,-131.1,53.7
4,2,14.8,-68.3,40.8
4,2,27.7,-98.2,50.5
4,2,28.1,-105.2,49.7
4,2,26.3,-100.7,46.3
4,2,24.2,-86.2,41.4
3,2,19.3,-54.2,35.0
4,2,17.7,171.8,44.2
5,2,-30.2,69.5,63.0
4,2,12.6,-59.8,44.6
4,2,19.8,-77.5,41.5
4,2,26.1,-108.6,46.4
4,2,23.6,-115.0,45.1
4,2,21.2,-110.0,41.8
3,2,20.2,-96.1,36.7
3,2,19.9,-69.1,30.7
4,2,23.4,159.9,46.3
4,2,-22.1,66.5,58.9
4,2,18.6,-62.0,50.7
3,2,19.3,-70.6,38.2
4,2,23.5,-108.9,41.7
4,2,19.4,-115.5,40.8
3,2,16.7,-110.4,38.0
3,2,16.5,-96.8,33.1
3,2,18.6,-71.1,26.8
4,2,23.9,163.5,43.8
4,2,-9.1,96.6,44.2
4,2,25.1,-68.3,58.0
5,2,51.2,51.3,89.7
3,2,23.0,-99.9,37.3
3,2,18.0,-107.9,36.3
3,2,15.6,-101.5,33.5
3,2,16.9,-84.6,28.1
3,2,20.2,-44.2,24.1
4,2,23.6,-48.7,55.7
5,2,50.5,70.7,83.6
3,2,23.4,-87.6,33.6
3,2,20.2,-88.3,30.6
3,2,21.0,-71.4,26.8
4,2,28.1,166.4,45.7
4,2,-0.9,96.2,46.4
5,2,-47.8,64.8,80.7
5,2,50.3,103.4,87.5
5,2,47.7,103.0,74.6
3,2,23.7,-38.9,35.7
4,2,32.9,160.0,52.5
4,2,-8.9,67.0,52.1
5,2,24.6,-59.2,62.7
5,2,26.2,166.3,66.8
3,2,25.0,144.5,22.8
4,2,-37.1,75.9,55.8
5,2,-47.9,92.2,72.8
