t_n,x_n,y_n,z_n,dx_n,dy_n,dz_n
0.087965, 1.02001909, -0.00333841, -0.00143488, -0.00603393, -0.01075933, -0.00442795
0.100531, 1.01994149, -0.00347186, -0.00149007, -0.00631569, -0.01047816, -0.00435546
0.113097, 1.01986037, -0.00360170, -0.00154433, -0.00659582, -0.01018403, -0.00427983
0.125664, 1.01977573, -0.00372776, -0.00159762, -0.00687433, -0.00987697, -0.00420102
0.138230, 1.01968760, -0.00384988, -0.00164990, -0.00715127, -0.00955700, -0.00411903
0.150796, 1.01959600, -0.00396790, -0.00170113, -0.00742667, -0.00922416, -0.00403383
0.163363, 1.01950096, -0.00408165, -0.00175127, -0.00770060, -0.00887845, -0.00394540
0.175929, 1.01940247, -0.00419098, -0.00180028, -0.00797313, -0.00851991, -0.00385371
0.188496, 1.01930057, -0.00429573, -0.00184811, -0.00824436, -0.00814853, -0.00375875
0.201062, 1.01919528, -0.00439572, -0.00189473, -0.00851439, -0.00776432, -0.00366047
0.213628, 1.01908659, -0.00449081, -0.00194010, -0.00878335, -0.00736729, -0.00355885
0.226195, 1.01897453, -0.00458083, -0.00198416, -0.00905138, -0.00695743, -0.00345384
0.238761, 1.01885911, -0.00466562, -0.00202689, -0.00931868, -0.00653471, -0.00334541
0.251327, 1.01874033, -0.00474501, -0.00206823, -0.00958541, -0.00609913, -0.00323351
0.263894, 1.01861820, -0.00481885, -0.00210814, -0.00985181, -0.00565065, -0.00311809
0.276460, 1.01849273, -0.00488697, -0.00214658, -0.01011812, -0.00518922, -0.00299909
0.289027, 1.01836390, -0.00494922, -0.00218350, -0.01038462, -0.00471481, -0.00287646
0.301593, 1.01823173, -0.00500541, -0.00221886, -0.01065161, -0.00422734, -0.00275013
0.314159, 1.01809620, -0.00505541, -0.00225260, -0.01091943, -0.00372673, -0.00262002
0.326726, 1.01795729, -0.00509902, -0.00228469, -0.01118847, -0.00321291, -0.00248606
0.339292, 1.01781499, -0.00513610, -0.00231507, -0.01145915, -0.00268577, -0.00234816
0.351858, 1.01766928, -0.00516647, -0.00234369, -0.01173192, -0.00214519, -0.00220622
0.364425, 1.01752013, -0.00518996, -0.00237050, -0.01200730, -0.00159103, -0.00206014
0.376991, 1.01736749, -0.00520640, -0.00239545, -0.01228587, -0.00102314, -0.00190980
0.389557, 1.01721133, -0.00521561, -0.00241848, -0.01256824, -0.00044135, -0.00175509
0.402124, 1.01705160, -0.00521743, -0.00243954, -0.01285510, 0.00015454, -0.00159586
0.414690, 1.01688823, -0.00521167, -0.00245857, -0.01314722, 0.00076475, -0.00143195
0.427257, 1.01672115, -0.00519815, -0.00247551, -0.01344543, 0.00138950, -0.00126321
0.439823, 1.01655028, -0.00517668, -0.00249029, -0.01375067, 0.00202908, -0.00108946
0.452389, 1.01637552, -0.00514709, -0.00250286, -0.01406396, 0.00268377, -0.00091049
0.464956, 1.01619677, -0.00510917, -0.00251315, -0.01438643, 0.00335390, -0.00072608
0.477522, 1.01601391, -0.00506273, -0.00252109, -0.01471936, 0.00403981, -0.00053598
