t_n,x_n,y_n,z_n,dx_n,dy_n,dz_n
NaN, NaN, NaN, NaN, NaN, NaN, NaN
0.000000, 1.02046170, 0.00483566, -0.00102579, -0.01164610, -0.00122405, -0.00248909
0.012566, 1.02031552, 0.00482111, -0.00105677, -0.01162052, -0.00109369, -0.00244107
0.025133, 1.02016960, 0.00480816, -0.00108713, -0.01160644, -0.00096683, -0.00239086
0.037699, 1.02002377, 0.00479679, -0.00111685, -0.01160407, -0.00084328, -0.00233843
0.050265, 1.01987791, 0.00478696, -0.00114589, -0.01161365, -0.00072288, -0.00228375
0.062832, 1.01973184, 0.00477861, -0.00117424, -0.01163541, -0.00060545, -0.00222680
0.075398, 1.01958542, 0.00477173, -0.00120185, -0.01166963, -0.00049083, -0.00216752
0.087965, 1.01943850, 0.00476627, -0.00122870, -0.01171657, -0.00037885, -0.00210590
0.100531, 1.01929090, 0.00476220, -0.00125477, -0.01177654, -0.00026934, -0.00204189
0.113097, 1.01914246, 0.00475949, -0.00128001, -0.01184985, -0.00016215, -0.00197546
0.125664, 1.01899302, 0.00475811, -0.00130440, -0.01193683, -0.00005713, -0.00190658
0.138230, 1.01884240, 0.00475804, -0.00132792, -0.01203786, 0.00004589, -0.00183520
0.150796, 1.01869042, 0.00475926, -0.00135052, -0.01215331, 0.00014704, -0.00176128
0.163363, 1.01853689, 0.00476173, -0.00137217, -0.01228361, 0.00024647, -0.00168480
0.175929, 1.01838163, 0.00476544, -0.00139285, -0.01242919, 0.00034431, -0.00160569
0.188496, 1.01822445, 0.00477038, -0.00141252, -0.01259054, 0.00044069, -0.00152392
0.201062, 1.01806513, 0.00477651, -0.00143114, -0.01276817, 0.00053572, -0.00143944
0.213628, 1.01790348, 0.00478384, -0.00144868, -0.01296263, 0.00062951, -0.00135220
0.226195, 1.01773927, 0.00479233, -0.00146511, -0.01317451, 0.00072215, -0.00126215
0.238761, 1.01757229, 0.00480198, -0.00148039, -0.01340446, 0.00081374, -0.00116922
0.251327, 1.01740230, 0.00481278, -0.00149448, -0.01365316, 0.00090433, -0.00107336
0.263894, 1.01722907, 0.00482471, -0.00150735, -0.01392136, 0.00099399, -0.00097450
0.276460, 1.01705233, 0.00483776, -0.00151896, -0.01420987, 0.00108273, -0.00087256
0.289027, 1.01687185, 0.00485191, -0.00152927, -0.01451955, 0.00117058, -0.00076748
0.301593, 1.01668733, 0.00486717, -0.00153824, -0.01485135, 0.00125750, -0.00065915
0.314159, 1.01649849, 0.00488352, -0.00154582, -0.01520629, 0.00134347, -0.00054750
0.326726, 1.01630505, 0.00490093, -0.00155198, -0.01558548, 0.00142838, -0.00043242
0.339292, 1.01610668, 0.00491941, -0.00155668, -0.01599013, 0.00151213, -0.00031380
0.351858, 1.01590306, 0.00493893, -0.00155986, -0.01642156, 0.00159453, -0.00019152
0.364425, 1.01569384, 0.00495948, -0.00156147, -0.01688120, 0.00167538, -0.00006544
0.376991, 1.01547866, 0.00498103, -0.00156148, -0.01737063, 0.00175437, 0.00006458
0.389557, 1.01525714, 0.00500356, -0.00155983, -0.01789156, 0.00183114, 0.00019871
0.402124, 1.01502886, 0.00502704, -0.00155647, -0.01844588, 0.00190524, 0.00033712
0.414690, 1.01479340, 0.00505143, -0.00155134, -0.01903567, 0.00197612, 0.00048002
0.427257, 1.01455028, 0.00507669, -0.00154439, -0.01966323, 0.00204309, 0.00062763
0.439823, 1.01429904, 0.00510276, -0.00153555, -0.02033109, 0.00210533, 0.00078020
0.452389, 1.01403913, 0.00512958, -0.00152476, -0.02104205, 0.00216183, 0.00093801
0.464956, 1.01377000, 0.00515706, -0.00151195, -0.02179923, 0.00221139, 0.00110137
0.477522, 1.01349105, 0.00518512, -0.00149705, -0.02260612, 0.00225254, 0.00127064
0.490088, 1.01320162, 0.00521363, -0.00147999, -0.02346661, 0.00228350, 0.00144621
0.502655, 1.01290102, 0.00524246, -0.00146068, -0.02438507, 0.00230215, 0.00162853
0.515221, 1.01258849, 0.00527143, -0.00143903, -0.02536641, 0.00230588, 0.00181812
0.527788, 1.01226321, 0.00530034, -0.00141495, -0.02641621, 0.00229153, 0.00201556
0.540354, 1.01192427, 0.00532893, -0.00138834, -0.02754077, 0.00225525, 0.00222153
0.552920, 1.01157069, 0.00535691, -0.00135908, -0.02874732, 0.00219231, 0.00243679
0.565487, 1.01120139, 0.00538389, -0.00132705, -0.03004412, 0.00209689, 0.00266224
0.578053, 1.01081518, 0.00540944, -0.00129212, -0.03144068, 0.00196177, 0.00289892
0.590619, 1.01041074, 0.00543299, -0.00125414, -0.03294803, 0.00177790, 0.00314804
0.603186, 1.00998659, 0.00545387, -0.00121294, -0.03457900, 0.00153393, 0.00341103
0.615752, 1.00954109, 0.00547124, -0.00116835, -0.03634863, 0.00121540, 0.00368959
0.628319, 1.00907239, 0.00548403, -0.00112014, -0.03827463, 0.00080372, 0.00398573
0.640885, 1.00857840, 0.00549094, -0.00106809, -0.04037800, 0.00027473, 0.00430185
0.653451, 1.00805674, 0.00549031, -0.00101193, -0.04268375, -0.00040349, 0.00464089
0.666018, 1.00750467, 0.00548000, -0.00095134, -0.04522182, -0.00127368, 0.00500638
0.678584, 1.00691907, 0.00545726, -0.00088597, -0.04802813, -0.00239425, 0.00540267
0.691150, 1.00629629, 0.00541844, -0.00081541, -0.05114567, -0.00384664, 0.00583506
0.703717, 1.00563212, 0.00535871, -0.00073915, -0.05462531, -0.00574728, 0.00631005
0.716283, 1.00492165, 0.00527142, -0.00065661, -0.05852528, -0.00826737, 0.00683545
0.728849, 1.00415920, 0.00514726, -0.00056710, -0.06290653, -0.01166707, 0.00742021
0.741416, 1.00333841, 0.00497282, -0.00046983, -0.06781603, -0.01635685, 0.00807320
0.753982, 1.00245264, 0.00472800, -0.00036390, -0.07323426, -0.02301145, 0.00879855
0.766549, 1.00149665, 0.00438153, -0.00024846, -0.07891313, -0.03278452, 0.00957987
0.779115, 1.00047211, 0.00388276, -0.00012324, -0.08386040, -0.04768021, 0.01032670
0.791681, 0.99940538, 0.00314858, 0.00000959, -0.08468837, -0.07084141, 0.01069223
0.804248, 0.99840109, 0.00205875, 0.00013945, -0.07145074, -0.10390604, 0.00957082
0.815633, 0.99777159, 0.00070896, 0.00022938, -0.03499999, -0.13037958, 0.00571744
