bin_impactAngle,bin_neckSection,latitude,longitude,impactAngle
3,3,-7.8,-47.5,25.4
3,3,-7.4,-74.2,30.6
3,3,-32.6,-49.7,37.5
4,3,7.9,131.7,47.1
3,3,1.4,159.8,36.6
3,3,-9.1,-34.6,23.3
3,3,-0.7,-68.1,35.6
3,3,-16.2,-88.9,32.6
4,3,16.7,116.6,57.9
4,3,15.5,141.2,53.7
4,3,5.7,167.2,41.8
4,3,-11.8,57.7,54.8
5,3,-39.4,66.7,81.4
3,3,1.2,-54.4,36.4
3,3,-0.1,-85.3,39.6
5,3,-32.2,173.5,63.8
5,3,24.6,115.2,65.4
5,3,23.1,138.6,61.8
4,3,15.2,160.9,53.0
3,3,-4.9,-165.7,30.1
5,3,-48.0,93.7,84.0
5,3,-36.6,133.8,69.7
3,3,-6.0,-29.8,27.3
4,3,6.5,-68.5,43.3
3,3,-5.6,-98.4,39.3
5,3,30.7,114.1,71.2
5,3,29.1,135.9,67.9
5,3,22.9,155.5,61.2
4,3,11.0,177.2,49.0
5,3,-45.8,106.4,75.3
4,3,5.4,-50.2,41.1
4,3,8.4,-84.8,47.3
3,3,-26.1,-92.0,38.5
5,3,35.1,124.2,74.2
5,3,31.4,143.0,69.8
5,3,24.6,160.3,62.9
4,3,12.5,-179.1,50.9
5,3,-46.8,96.6,74.5
4,3,11.1,-62.6,47.8
4,3,6.3,-97.6,47.7
5,3,38.3,123.5,77.0
5,3,35.0,141.1,72.9
5,3,29.3,156.8,67.0
4,3,20.0,174.0,58.1
5,3,-48.5,90.8,82.5
4,3,-36.6,124.9,56.3
3,3,2.3,-32.7,37.6
4,3,14.5,-71.3,51.9
4,3,1.2,-105.7,45.2
5,3,41.1,113.4,80.2
5,3,39.3,132.2,77.0
5,3,35.1,147.4,72.2
5,3,28.8,162.1,66.0
4,3,18.2,-179.6,56.2
5,3,-47.4,83.8,74.2
4,3,-32.3,144.4,48.9
4,3,6.9,-38.3,43.0
4,3,16.6,-76.2,54.4
4,3,-5.2,-108.1,41.3
5,3,42.0,123.9,79.9
5,3,39.0,139.7,75.8
5,3,34.3,153.4,70.7
5,3,27.3,168.0,64.1
4,3,13.5,-170.2,51.7
5,3,-41.2,84.4,65.1
4,3,-29.8,158.8,45.5
4,3,11.4,-45.3,48.2
4,3,17.5,-82.6,55.9
3,3,-20.7,-96.9,34.5
5,3,43.1,116.0,81.7
5,3,41.1,134.1,78.1
5,3,37.1,148.3,73.4
5,3,31.3,162.2,67.5
4,3,21.4,179.8,58.8
5,3,-47.2,80.5,73.1
4,3,-33.5,114.7,50.7
4,3,10.5,-40.6,47.6
4,3,18.5,-78.9,56.7
3,3,-19.2,-95.6,32.9
5,3,41.9,128.7,79.7
5,3,38.5,144.6,75.3
5,3,33.4,158.5,69.8
5,3,25.2,174.6,62.3
5,3,-44.0,102.3,77.8
4,3,-37.5,89.0,59.5
4,3,-34.0,136.6,50.8
4,3,-27.1,168.1,53.3
4,3,9.4,-37.4,47.0
4,3,18.5,-76.1,56.6
3,3,-21.8,-86.6,30.8
5,3,40.2,132.7,78.5
5,3,36.3,149.8,73.8
5,3,30.1,165.1,67.5
4,3,18.6,-175.0,57.4
5,3,-48.5,88.0,75.3
5,3,-41.5,92.3,64.0
5,3,-43.4,110.0,68.1
4,3,2.8,-26.5,40.9
4,3,17.5,-68.3,55.6
3,3,-14.3,-92.0,30.1
5,3,37.9,125.2,77.4
5,3,34.9,148.0,73.7
5,3,28.2,166.1,67.1
4,3,14.5,-171.0,54.8
5,3,-44.3,105.7,78.8
5,3,-49.2,97.6,81.3
4,3,13.8,-55.2,52.1
3,3,-1.0,-91.2,37.7
5,3,32.8,127.5,72.7
5,3,29.2,154.9,69.1
4,3,18.3,178.7,59.1
4,3,1.9,-32.4,40.4
4,3,7.5,-76.0,44.7
5,3,24.4,126.7,64.3
5,3,22.0,159.5,62.2
4,3,3.9,-56.9,40.7
4,3,15.8,140.3,54.7
4,3,5.5,179.1,44.7
4,3,-20.6,114.3,42.6
3,3,-5.4,137.3,34.1
3,3,1.7,167.3,38.0
3,3,-7.9,145.9,31.0
3,3,-19.0,146.4,28.4
3,3,-15.8,139.8,30.4
5,3,-29.9,-130.0,72.1
5,3,-28.9,-95.7,61.2
5,3,-30.2,-107.4,65.1
4,3,-24.3,-73.7,51.2
3,3,-18.7,-49.4,36.6
5,3,-28.4,-118.7,65.8
3,3,-13.5,-13.8,22.2
4,3,-22.2,-107.5,57.5
3,3,-17.0,-42.0,34.4
4,3,-17.5,-104.6,53.6
5,3,-27.3,-143.5,71.3
3,3,-11.4,-33.6,21.5
5,3,-19.5,-126.0,61.6
4,3,-18.8,-83.7,47.0
3,3,-9.5,-40.8,23.2
5,3,-18.0,-128.4,61.3
4,3,-16.6,-87.4,46.3
3,3,-6.8,-78.6,39.5
4,3,-15.3,-103.8,51.5
3,3,-9.3,-77.0,38.8
4,3,-8.2,-88.5,43.6
5,3,-18.5,-129.5,60.8
5,2,-23.4,-73.3,61.8
5,2,-25.3,-37.5,63.9
4,2,-1.2,-106.3,42.2
5,2,39.3,-63.0,63.6
5,2,42.6,88.9,80.6
3,2,-8.4,110.6,37.2
3,2,20.4,-81.2,26.7
3,2,-22.8,152.4,31.1
3,2,-17.0,138.5,29.7
4,2,-28.8,-42.9,49.8
3,2,-17.2,-162.7,36.5
5,2,-27.2,48.4,66.1
5,2,-21.7,36.5,66.1
5,2,-10.0,38.5,65.0
5,2,0.4,52.1,63.5
4,2,4.4,86.1,53.7
4,2,-20.9,133.6,53.0
5,2,-39.0,-97.1,67.8
5,2,-44.7,48.3,79.1
4,2,-26.9,39.0,57.5
5,2,-14.4,26.2,63.1
5,2,1.2,33.7,68.2
4,2,10.4,77.7,59.3
3,2,5.9,-53.9,30.2
5,2,1.6,27.7,69.4
4,2,11.9,97.6,53.2
3,2,-17.7,-69.4,38.0
5,2,4.0,24.5,70.7
4,2,9.0,127.8,41.2
4,2,-16.3,-105.2,51.7
5,2,9.3,23.8,72.7
3,2,0.6,170.3,22.4
5,2,-7.5,-131.7,63.9
5,2,-17.5,-130.2,60.9
5,2,15.7,24.6,75.0
5,2,-20.0,-143.2,63.6
