bin_impactAngle,bin_neckSection,latitude,longitude,impactAngle
3,3,-23.1,158.3,27.5
2,3,-19.8,-178.4,15.6
5,3,-13.9,51.4,62.4
3,3,-16.2,-54.6,21.2
3,3,-15.4,126.3,35.1
4,3,1.8,135.0,40.7
3,3,-2.3,163.4,32.3
5,3,-36.5,125.0,73.7
2,3,-21.0,-17.4,8.7
3,3,-15.6,-80.3,31.5
4,3,2.5,104.9,48.9
4,3,16.3,123.3,56.4
4,3,14.4,147.5,52.5
3,3,0.1,178.1,35.8
5,3,48.9,-108.1,78.4
4,3,-22.3,167.1,56.8
3,3,-5.8,-56.7,29.0
4,3,-27.4,-88.7,40.6
5,3,15.3,93.9,60.9
5,3,26.6,115.7,67.2
5,3,25.7,138.0,64.9
4,3,17.9,159.6,56.6
3,3,-4.9,-164.8,31.3
4,3,-18.2,-178.1,50.2
5,3,-0.3,-120.2,63.0
4,3,19.6,77.5,57.6
3,3,-1.7,-81.4,38.4
3,3,11.3,144.9,27.6
5,3,24.3,87.2,69.5
5,3,33.8,110.2,74.5
5,3,33.5,130.9,72.7
5,3,28.6,148.8,67.4
4,3,18.9,167.8,57.7
4,3,-29.8,159.4,53.4
4,3,23.3,71.1,52.4
3,3,1.1,-54.7,35.8
4,3,-11.5,-103.1,40.5
5,3,30.6,83.1,75.4
5,3,39.0,107.3,79.3
5,3,38.7,126.9,77.4
5,3,34.9,142.9,72.9
5,3,28.1,158.5,66.1
4,3,15.0,179.5,53.6
5,3,-48.3,90.8,76.9
4,3,6.6,-67.7,43.3
4,3,-26.5,-100.6,42.8
5,3,35.0,81.1,79.2
5,3,42.5,105.4,82.3
5,3,42.2,123.8,80.2
5,3,39.2,137.9,76.2
5,3,34.1,151.3,70.8
5,3,25.5,167.5,62.7
4,3,-33.8,124.7,50.7
4,3,17.1,62.2,52.7
4,3,9.6,-83.1,48.5
3,3,0.0,127.1,39.4
5,3,42.7,93.8,83.7
5,3,44.9,114.6,83.2
5,3,43.2,129.1,79.8
5,3,39.7,141.2,75.4
5,3,34.3,154.1,69.8
5,3,24.9,171.5,61.3
5,3,-32.9,100.9,71.9
4,3,-28.2,164.3,41.3
4,3,-2.5,116.0,42.4
3,3,-1.2,-30.1,32.8
4,3,9.8,-92.8,50.3
5,3,43.8,95.5,84.5
5,3,45.8,115.9,83.7
5,3,44.1,129.4,80.1
5,3,40.8,140.7,75.6
5,3,35.7,153.2,70.2
5,3,26.7,170.7,62.3
5,3,-39.1,104.0,76.4
3,3,-29.2,149.1,40.0
4,3,-1.7,80.4,51.4
3,3,2.4,-34.1,37.5
4,3,9.7,-96.4,50.7
5,3,38.4,85.7,81.1
5,3,45.4,110.6,84.2
5,3,44.8,126.7,81.5
5,3,42.1,138.3,77.2
5,3,37.8,150.1,72.0
5,3,30.3,165.9,65.1
4,3,-29.2,106.4,46.8
3,3,-0.6,-27.2,34.8
4,3,11.0,-93.6,51.2
5,3,35.5,91.6,77.9
5,3,43.5,117.0,82.5
5,3,42.8,133.6,79.8
5,3,39.6,145.8,75.1
5,3,34.0,159.3,69.2
4,3,22.3,-179.4,59.2
5,3,-40.7,78.0,63.7
4,3,-25.3,-174.6,40.1
4,3,13.1,-83.3,51.8
5,3,28.4,101.8,70.2
5,3,39.2,125.4,78.6
5,3,38.2,143.5,76.4
5,3,33.8,157.8,71.2
5,3,24.7,175.7,62.8
5,3,-32.0,122.3,71.2
4,3,-32.6,98.0,51.5
4,3,11.9,-74.5,50.0
4,3,11.4,122.4,51.0
5,3,31.0,137.3,70.9
5,3,28.6,158.9,68.7
4,3,18.1,-179.2,59.0
5,3,-30.4,126.2,70.5
5,3,-41.0,94.3,62.0
5,3,-41.6,125.3,67.1
4,3,3.6,-44.1,40.9
5,3,-27.4,170.4,66.5
4,3,15.5,152.5,54.5
4,3,7.7,-177.3,48.9
3,3,3.2,140.6,37.0
5,3,-45.9,109.2,81.3
3,3,-13.7,-78.2,27.0
3,3,-3.9,119.7,37.0
3,3,-10.5,-58.9,23.9
5,3,40.8,111.2,80.3
4,3,-28.8,123.7,44.8
2,3,-18.7,-57.9,18.6
3,3,-26.2,-47.6,28.3
4,3,-10.9,116.6,40.4
2,3,-15.0,-40.3,14.9
3,3,-8.1,-48.8,24.7
3,3,-4.2,-61.6,30.3
3,3,-9.9,-77.1,28.5
4,3,-14.1,-166.0,55.2
4,3,1.9,116.9,45.8
3,3,0.4,146.8,37.1
2,3,-17.3,-166.0,11.1
3,3,-9.4,-32.3,23.7
3,3,-0.2,-54.1,35.0
3,3,-0.1,-75.6,36.9
3,3,-23.7,-77.8,30.8
4,3,8.1,104.1,53.7
4,3,11.7,132.7,50.5
3,3,2.5,163.0,37.5
3,3,-2.0,-39.9,33.0
4,3,5.1,-65.2,41.5
3,3,-2.6,-89.3,37.6
5,3,-25.5,166.1,66.3
5,3,17.6,105.1,60.9
4,3,18.8,133.6,57.5
4,3,9.9,161.3,46.4
4,3,4.3,-48.5,40.2
4,3,8.1,-76.4,45.6
3,3,-12.1,-96.9,34.8
5,3,24.9,106.2,66.9
5,3,24.8,133.4,63.5
4,3,16.9,158.3,54.5
3,3,-2.6,-168.0,32.4
5,3,-30.1,61.2,71.5
3,3,-3.1,-28.0,32.0
4,3,10.2,-60.8,46.9
4,3,7.5,-90.4,46.9
5,3,-44.3,133.8,70.6
5,3,30.4,107.2,71.6
5,3,29.6,132.8,68.3
5,3,22.9,155.0,60.9
4,3,9.7,179.5,47.1
5,3,-48.9,92.6,83.3
5,3,-43.9,110.3,77.3
4,3,7.9,-45.8,44.3
4,3,13.9,-75.6,51.5
4,3,-1.8,-103.2,41.8
5,3,34.6,108.1,75.1
5,3,33.2,132.9,71.6
5,3,27.0,153.7,64.9
4,3,15.8,175.3,53.8
5,3,-49.9,89.3,83.2
5,3,-41.0,121.3,68.2
5,3,-35.1,138.5,66.0
4,3,12.1,-51.5,48.8
4,3,15.5,-82.7,53.7
3,3,-12.5,-103.6,36.3
5,3,37.6,108.9,77.6
5,3,35.9,132.7,74.0
5,3,30.3,152.1,67.9
4,3,20.9,171.5,58.8
5,3,-39.7,90.4,78.0
5,3,-43.9,102.0,69.4
4,3,-32.9,148.8,58.5
3,3,0.9,-24.6,37.1
4,3,16.0,-59.2,53.1
4,3,15.2,-91.5,54.2
5,3,-46.8,108.1,72.9
5,3,39.2,122.3,77.7
5,3,35.4,142.7,72.8
5,3,28.7,160.4,66.0
4,3,17.1,-179.0,55.2
5,3,-49.7,88.5,81.5
5,3,-41.0,107.2,64.1
4,3,-33.2,148.2,58.0
4,3,6.4,-31.4,43.3
4,3,18.4,-63.4,55.7
4,3,13.9,-96.4,53.5
3,3,-2.3,155.6,36.4
5,3,40.2,123.5,78.5
5,3,36.3,143.6,73.5
5,3,29.7,161.0,66.8
4,3,18.4,-178.6,56.4
5,3,-48.6,91.5,81.2
5,3,-42.7,97.1,66.7
5,3,-39.4,124.6,63.7
4,3,8.1,-32.2,45.4
4,3,19.4,-63.8,57.0
4,3,13.3,-97.2,52.7
5,3,40.9,112.1,80.3
5,3,38.7,136.2,76.3
5,3,33.1,154.7,70.2
5,3,24.1,173.3,61.8
4,3,-10.4,112.0,48.6
5,3,-48.5,86.4,75.9
5,3,-46.1,99.2,73.0
4,3,6.2,-27.8,44.0
4,3,19.3,-60.3,57.0
4,3,14.2,-93.8,53.1
5,3,40.1,113.0,79.7
5,3,37.7,139.1,75.6
5,3,31.4,158.8,69.0
4,3,20.4,179.8,58.9
5,3,-28.0,106.6,67.9
5,3,-49.0,93.3,82.8
5,3,-25.0,74.0,64.4
4,3,17.3,-52.6,55.3
4,3,16.3,-85.9,54.5
5,3,37.9,113.0,78.0
5,3,35.8,141.9,74.3
5,3,28.3,163.8,66.8
4,3,13.1,-170.6,52.9
4,3,14.1,-45.9,52.6
4,3,15.9,-78.2,53.8
5,3,-31.9,146.1,70.2
5,3,33.8,110.5,74.6
5,3,32.6,144.9,71.7
5,3,22.5,171.3,62.2
3,3,-2.7,-19.6,36.2
4,3,14.3,-60.1,52.5
3,3,-16.4,-74.1,22.3
5,3,25.4,104.6,67.5
5,3,28.7,144.7,68.2
4,3,15.4,177.4,55.8
4,3,5.4,-40.9,43.9
3,3,-0.5,-73.2,34.8
4,3,4.4,101.3,50.9
5,3,24.1,137.3,63.7
4,3,11.4,175.6,51.1
3,3,-2.8,-54.7,31.8
4,3,-4.0,110.1,43.5
4,3,16.6,140.8,55.5
4,3,3.4,177.2,40.8
3,3,1.4,153.3,37.5
4,3,-34.2,113.1,52.9
4,3,-2.6,115.0,43.0
4,3,4.5,124.9,45.6
4,3,-10.7,110.5,42.2
3,4,-11.0,-69.8,35.5
5,4,-49.7,91.6,79.1
5,4,-43.9,74.5,72.7
5,4,-49.1,106.8,81.1
5,4,-34.2,65.3,66.6
5,4,-16.6,66.4,60.1
2,4,-20.6,-48.6,14.6
5,4,-21.3,67.7,60.6
5,4,-44.7,76.0,73.5
5,4,-17.7,63.1,61.1
2,4,-14.2,-60.1,15.5
3,4,-5.9,-72.4,26.3
3,4,-3.3,-76.4,29.9
3,4,-5.3,-77.5,28.0
2,4,-13.5,-70.9,19.7
5,4,-31.5,68.1,64.6
5,4,-41.8,124.8,77.6
5,4,-16.1,61.4,61.5
2,4,-13.5,-57.5,15.2
3,4,-2.5,-71.0,30.0
3,4,3.0,-75.1,37.1
4,4,5.5,-77.5,40.4
4,4,5.7,-79.7,40.8
3,4,3.2,-81.8,38.1
3,4,-3.4,-81.5,30.8
2,4,-18.0,-64.5,17.6
5,4,-47.6,79.7,76.4
5,4,-5.7,63.8,61.3
3,4,-8.0,-62.3,22.2
3,4,1.5,-70.4,35.0
4,4,6.8,-73.1,41.7
4,4,9.8,-74.8,45.4
4,4,11.2,-76.5,47.1
4,4,11.2,-78.8,47.1
4,4,9.4,-81.6,45.2
4,4,4.8,-84.0,40.2
3,4,-5.0,-82.4,29.4
5,4,-25.6,68.2,62.1
5,4,-46.2,113.8,81.4
5,4,1.6,66.9,62.5
3,4,-4.9,-62.6,26.3
3,4,3.8,-68.6,37.8
4,4,8.9,-70.7,44.2
4,4,12.0,-71.9,48.0
4,4,13.9,-73.1,50.2
4,4,14.7,-74.7,51.2
4,4,14.6,-77.0,51.1
4,4,13.3,-80.0,49.6
4,4,10.0,-83.4,46.1
3,4,3.2,-85.6,38.6
3,4,-10.9,-78.4,23.4
5,4,-42.3,71.5,72.1
4,4,11.2,-87.6,47.3
5,4,6.8,69.5,63.8
3,4,-3.3,-61.3,28.3
3,4,4.9,-66.6,39.2
4,4,9.9,-68.5,45.4
4,4,13.1,-69.4,49.2
4,4,15.2,-70.2,51.6
4,4,16.4,-71.3,53.0
4,4,17.0,-72.9,53.7
4,4,16.9,-75.2,53.6
4,4,15.9,-78.2,52.5
4,4,13.4,-81.9,49.8
4,4,8.5,-85.4,44.4
3,4,-1.5,-85.3,33.4
2,4,-22.2,-47.9,19.8
5,4,-48.9,105.6,83.4
5,4,10.4,71.4,65.1
3,4,-2.4,-59.6,29.6
4,4,5.7,-64.8,40.2
4,4,10.7,-66.6,46.3
4,4,13.9,-67.5,50.2
4,4,16.1,-68.1,52.6
4,4,17.5,-69.0,54.2
4,4,18.2,-70.3,55.0
4,4,18.4,-72.2,55.3
4,4,18.0,-74.9,54.8
4,4,16.7,-78.4,53.4
4,4,13.8,-82.4,50.2
4,4,7.9,-85.9,43.8
3,4,-4.1,-84.1,30.5
5,4,-30.6,65.9,65.0
5,4,12.7,72.4,66.1
3,4,-2.7,-57.1,29.3
4,4,5.6,-62.8,40.2
4,4,10.7,-64.9,46.5
4,4,14.1,-65.8,50.4
4,4,16.4,-66.5,53.0
4,4,17.9,-67.2,54.6
4,4,18.8,-68.3,55.6
4,4,19.2,-69.8,56.1
4,4,19.2,-72.1,56.0
4,4,18.4,-75.1,55.3
4,4,16.7,-78.9,53.4
4,4,13.1,-83.1,49.4
4,4,5.8,-86.0,41.4
3,4,-9.3,-79.5,24.6
5,4,-43.1,69.7,73.2
2,4,-13.0,-41.5,14.5
3,4,1.2,-58.5,34.7
4,4,8.0,-62.3,43.3
4,4,12.4,-64.0,48.5
4,4,15.3,-64.9,51.8
4,4,17.3,-65.6,53.9
4,4,18.6,-66.4,55.3
4,4,19.3,-67.6,56.1
4,4,19.6,-69.3,56.5
4,4,19.4,-71.8,56.3
4,4,18.5,-75.0,55.3
4,4,16.4,-78.9,53.1
4,4,12.3,-83.0,48.5
3,4,4.0,-85.2,39.2
2,4,-13.7,-72.6,19.8
5,4,-50.1,80.2,80.1
5,4,18.9,79.6,67.9
3,4,-0.4,-55.7,32.8
4,4,7.1,-60.6,42.3
4,4,11.8,-62.7,47.8
4,4,14.9,-63.8,51.3
4,4,17.0,-64.7,53.6
4,4,18.3,-65.6,55.1
